word_idx,sentence_id,language,target_text,components,span_start,span_end,pseudo_sentence,quality_flag
0,1,he,מערכה,מערכה,0,1,מערכה קוף אמצע,pseudo_sentence_word_context
1,1,he,קוף,קוף,1,2,מערכה קוף אמצע,pseudo_sentence_word_context
2,1,he,אמצע,אמצע,2,3,מערכה קוף אמצע,pseudo_sentence_word_context
3,2,he,מקומות,מקומות,0,1,מקומות בעלי חיים ללכת מקומות מעוצב בני אדם בני אדם,pseudo_sentence_word_context
4,2,he,בעלי חיים,בעלי | חיים,1,3,מקומות בעלי חיים ללכת מקומות מעוצב בני אדם בני אדם,pseudo_sentence_word_context
5,2,he,ללכת,ללכת,3,4,מקומות בעלי חיים ללכת מקומות מעוצב בני אדם בני אדם,pseudo_sentence_word_context
6,2,he,מקומות,מקומות,4,5,מקומות בעלי חיים ללכת מקומות מעוצב בני אדם בני אדם,pseudo_sentence_word_context
7,2,he,מעוצב,מעוצב,5,6,מקומות בעלי חיים ללכת מקומות מעוצב בני אדם בני אדם,pseudo_sentence_word_context
8,2,he,בני אדם,בני | אדם,6,8,מקומות בעלי חיים ללכת מקומות מעוצב בני אדם בני אדם,pseudo_sentence_word_context
9,2,he,בני אדם,בני | אדם,8,10,מקומות בעלי חיים ללכת מקומות מעוצב בני אדם בני אדם,pseudo_sentence_word_context
10,2,he,מערכה,מערכה,10,11,מקומות בעלי חיים ללכת מקומות מעוצב בני אדם בני אדם,isolated_word_fallback_span_out_of_range
11,2,he,מסתיים,מסתיים,11,12,מקומות בעלי חיים ללכת מקומות מעוצב בני אדם בני אדם,isolated_word_fallback_span_out_of_range
12,2,he,מקום,מקום,12,13,מקומות בעלי חיים ללכת מקומות מעוצב בני אדם בני אדם,isolated_word_fallback_span_out_of_range
13,3,he,מתחיל,מתחיל,0,1,מערכה מסתיים מקום מתחיל,pseudo_sentence_word_context
14,3,he,מסביר,מסביר,1,2,מערכה מסתיים מקום מתחיל,pseudo_sentence_word_context
15,3,he,כתבה,כתבה,2,3,מערכה מסתיים מקום מתחיל,pseudo_sentence_word_context
16,3,he,מתחיל,מתחיל,3,4,מערכה מסתיים מקום מתחיל,pseudo_sentence_word_context
17,4,he,עמוק,עמוק,0,1,מסביר,pseudo_sentence_word_context
18,5,he,יערות גשם,יערות | גשם,0,2,כתבה מתחיל עמוק יערות גשם אי נקרא,pseudo_sentence_word_context
19,5,he,אי,אי,2,3,כתבה מתחיל עמוק יערות גשם אי נקרא,pseudo_sentence_word_context
20,5,he,נקרא,נקרא,3,4,כתבה מתחיל עמוק יערות גשם אי נקרא,pseudo_sentence_word_context
21,5,he,כמה שנים,כמה | שנים,4,6,כתבה מתחיל עמוק יערות גשם אי נקרא,pseudo_sentence_word_context
22,5,he,צלם,צלם,6,7,כתבה מתחיל עמוק יערות גשם אי נקרא,pseudo_sentence_word_context
23,5,he,טייל,טייל,7,8,כתבה מתחיל עמוק יערות גשם אי נקרא,isolated_word_fallback_span_out_of_range
24,5,he,בית,בית,8,9,כתבה מתחיל עמוק יערות גשם אי נקרא,isolated_word_fallback_span_out_of_range
25,6,he,אנגליה,אנגליה,0,1,כמה שנים צלם טייל בית אנגליה תצלום להקת קופים,pseudo_sentence_word_context
26,6,he,תצלום,תצלום,1,2,כמה שנים צלם טייל בית אנגליה תצלום להקת קופים,pseudo_sentence_word_context
