start,end,en,he,ar
3.71,3.79,act,מערכה,حملة
4.651,4.931,monkey,קוף,قرد
5.151,5.391,middle,אמצע,وسط
7.072,7.342,places,מקומות,الأماكن
7.542,7.782,animals,בעלי חיים,الحيوانات
8.452,8.682,go,ללכת,يذهب
9.572,9.862,places,מקומות,الأماكن
10.042,10.612,designed,מעוצב,مصمم
11.002,11.582,humans,בני אדם,الجنس البشري
11.942,12.492,humans,בני אדם,الجنس البشري
13.392,13.712,act,מערכה,حملة
14.142,14.372,ends,מסתיים,نهاية
14.672,14.872,place,מקום,مكان
16.552,16.802,starts,מתחיל,بدء
19.562,20.072,explains,מסביר,يشرح
21.32392793,21.61392793,story,כתבה,قصة
21.61392793,21.94392793,begins,מתחיל,بدء
21.94392793,22.19392793,deep,עמוק,عميق
22.36392793,23.07392793,rainforests,יערות גשם,الغابات المطيرة
24.23392793,24.48392793,island,אי,غير
24.48392793,24.67392793,called,נקרא,مُسَمًّى
26.30392793,26.71392793,few_years,כמה שנים,كم سنة؟
27.32392793,27.83392793,photographer,צלם,مصور
28.44392793,28.82392793,traveled,טייל,يسافر
29.29392793,29.45392793,home,בית,منزل
29.54392793,29.96392793,england,אנגליה,إنجلترا
30.25392793,30.68392793,photograph,תצלום,تصوير
30.72392793,30.92392793,troop,להקת,فرقة
31.02392793,31.44392793,monkeys,קופים,القرود
31.98982793,32.12982793,gone,נעלם,مجهول
32.15982793,32.33982793,whole,כל,الجميع
32.33982793,32.60982793,day,יום,يوم
32.79982793,33.19982793,following,הבא,التالي
34.09532793,34.31532793,thick,עבה,سميك
34.45532793,35.07532793,forest,יער,غابة
36.70532793,37.53532793,vines,גפנים,الكروم
38.29532793,38.52532793,muddy,בוצי,موحل
38.58532793,39.33532793,undergrowth,סבך,تشابك
39.81532793,40.46532793,cobwebs,קורי עכביש,بيت العنكبوت
41.18532793,41.81532793,poisonous,רעיל,سامة
41.79532793,42.40532793,snakes,נחשים,الثعابين
42.60532793,42.91532793,man,אדם,شخص
43.23422793,43.49422793,name,שם,اسم
44.48422793,44.70422793,go,ללכת,يذهب
46.83422793,47.31422793,amazing,מדהים,مدهش
48.99422793,49.33422793,monkey,קוף,قرد
50.16422793,50.63422793,monkey,קוף,قرد
52.55412793,52.71412793,met,נפגש,يقابل
52.71412793,53.00412793,monkeys,קופים,القرود
53.70412793,54.00412793,said,אמר,يقول
54.03412793,54.18412793,mean,ממוצע,متوسط
54.61412793,54.97412793,world,עולם,عالم
55.97412793,56.09412793,know,לדעת,يعرف
56.19412793,56.33412793,know,לדעת,يعرف
56.36412793,56.66412793,little_bit,קצת קצת,قليلاً قليلاً
57.01412793,57.37412793,monkey,קוף,قرد
57.43412793,57.67412793,monkey,קוף,قرد
57.71412793,58.30412793,etiquette,כללי התנהגות,آداب السلوك
58.61412793,58.87412793,showing,הצגה,عرض تقديمي
59.29412793,59.66412793,teeth,שיניים,أسنان
59.92412793,60.13412793,show,להציג,عرض
60.22412793,60.49412793,teeth,שיניים,أسنان
60.73412793,60.99412793,stare,לנעוץ מבט,التحديق
61.28412793,61.80412793,face,פנים,وجه
63.67412793,64.20412793,secrets,סודות,أسرار
64.83412793,64.99412793,able,מסוגל,قادر
65.96412793,66.10412793,good,טוב,جيد
66.16412793,66.87412793,photography,צילום,التصوير الفوتوغرافي
67.02412793,67.33412793,making,הכנה,تحضير
67.42412793,67.66412793,animal,חיה,حيوان
67.72412793,68.20412793,relaxed,רגוע,هادئ
69.49712793,69.87712793,shot,בעיטה,ركلة
70.59712793,70.87712793,wanted,רצה,مطلوب
72.24712793,72.43712793,full,מלא,ممتلىء
72.47712793,72.72712793,face,פנים,وجه
72.76712793,73.28712793,portrait,דיוקן,لَوحَة
74.27712793,74.78712793,lens,עדשה,عدسة
75.70712793,75.92712793,time,זמן,وقت
76.54712793,76.82712793,taking,לקיחה,أخذ
76.95712793,77.40712793,shot,בעיטה,ركلة
77.64712793,77.97712793,monkeys,קופים,القرود
78.13712793,78.28712793,look,מבט,ينظر
80.23712793,80.49712793,days,ימים,أيام
81.02712793,81.61712793,misses,החמצות,المكالمات الفائتة
81.82712793,82.14712793,changed,השתנה,تم التغيير
82.14712793,82.85712793,strategies,אסטרטגיות,الاستراتيجيات
83.62712793,83.73712793,put,לשים,يضع
83.87712793,84.15712793,camera,מצלמה,آلة تصوير
84.30712793,84.93712793,tripod,חצובה,حامل ثلاثي القوائم
85.11712793,85.21712793,threw,זרק,رمي
85.59712793,86.19712793,cookies,עוגיות,ملفات تعريف الارتباط
86.33712793,86.51712793,try,לנסות,يحاول
86.58712793,86.95712793,entice,לפתות,إغراء
87.03712793,87.35712793,monkeys,קופים,القرود
88.78712793,89.05712793,hoping,מקווה,يأمل
89.36712793,89.83712793,curious,סקרן,فضولي
90.20712793,90.72712793,camera,מצלמה,آلة تصوير
91.08712793,91.28712793,start,התחלה,يبدأ
91.30712793,91.56712793,pushing,דוחף,الدفع
94.08712793,94.72712793,curious,סקרן,فضولي
95.98712793,96.27712793,pushing,דוחף,الدفع
99.01712793,99.32712793,attached,מצורף,مُرفَق
99.40712793,99.82712793,cable,כבל,كابل
100.4971279,100.6271279,end,סוף,نهاية
101.1771279,101.5971279,camera,מצלמה,آلة تصوير
102.5871279,102.8271279,monkeys,קופים,القرود
102.8671279,103.1271279,liked,אהבתי,أعجبني
104.2471279,104.5071279,started,התחיל,بدأ
104.5671279,104.8171279,playing,משחק,يلعب
105.1971279,105.4171279,putting,לשים,يضع
105.6871279,106.2171279,mouths,פיות,الجنيات
106.3171279,106.6171279,fighting,לחימה,القتال
107.7889279,107.9989279,course,כמובן,بالطبع
109.6589279,110.1789279,pressed,לחוץ,خارج
112.4389279,112.7389279,looked,הסתכל,ينظر
113.0489279,113.5489279,lens,עדשה,عدسة
114.3889279,114.5389279,fact,עובדה,حقيقة
114.7989279,114.9789279,going,הולך,ذاهب
116.3389279,116.5589279,monkey,קוף,قرد
116.5989279,117.1789279,language,שפה,لغة
117.8745279,118.0945279,fired,מפוטר,تم فصله من العمل
118.3445279,118.5545279,few,מעטים,عدد قليل
118.5945279,119.0545279,shots,יריות,لقطات
119.8645279,120.1945279,reviewed,נבדק,تم اختباره
121.3245279,121.6645279,bad,רע,سيء
122.3745279,122.5545279,little,קצת,بعض
122.7545279,123.2745279,focus,מוקד,ركز
124.2445279,124.6045279,adjusted,מותאם,تم التعديل
124.6845279,125.1545279,settings,הגדרות,إعدادات
125.3045279,125.4345279,put,לשים,يضع
125.4945279,125.8045279,camera,מצלמה,آلة تصوير
127.2745279,127.5245279,monkeys,קופים,القرود
128.0545279,128.1945279,whole,כל,الجميع
128.1945279,128.5645279,project,פרויקט,مشروع
129.5145279,129.7445279,fact,עובדה,حقيقة
130.2445279,130.4645279,little,קצת,بعض
130.7545279,131.5745279,excited,נרגש,متحمس
132.2145279,132.3745279,knocked,דפק,طرق
132.4545279,132.7945279,tripod,חצובה,حامل ثلاثي القوائم
134.7045279,134.8845279,laid,מונח,شرط
135.2745279,135.7645279,stomach,בטן,معدة
136.0645279,136.3945279,stretched,מתוח,التمدد
136.5345279,136.7745279,arm,זרוע,ذراع
137.2845279,137.5545279,steady,יציב,مستقر
137.6845279,138.1245279,tripod,חצובה,حامل ثلاثي القوائم
138.4645279,139.0645279,fingers,אצבעות,أصابع
140.0045279,140.1745279,few,מעטים,عدد قليل
140.2145279,140.3245279,other,אחר,آخر
140.3845279,140.6945279,monkeys,קופים,القرود
140.6945279,141.0345279,noticed,שם לב,انتبه
141.1945279,141.5445279,strange,מוזר,غريب
141.5645279,141.6945279,new,חדש,جديد
141.7545279,142.0345279,friend,חבר,صديق
142.0545279,142.2645279,lying,שקר,كذب
142.3245279,142.4445279,full,מלא,ممتلىء
142.8045279,143.2745279,floor,קומה,أرضية
143.7345279,143.9645279,hopped,קפץ,قفز
145.4726279,145.8026279,monkeys,קופים,القرود
146.8426279,147.0626279,trying,מנסה,محاولة
147.1726279,147.4026279,keep,לשמור,احتياطي
147.5226279,148.0026279,camera,מצלמה,آلة تصوير
148.4626279,148.9026279,knocked,דפק,طرق
149.3026279,149.7426279,monkeys,קופים,القرود
149.7826279,150.1426279,trying,מנסה,محاولة
150.8226279,151.0926279,monkeys,קופים,القرود
151.2126279,151.4326279,trying,מנסה,محاولة
151.5426279,151.6726279,play,לשחק,يلعب
153.1050279,153.5050279,sudden,פתאומי,فجأة
153.9250279,154.0550279,heard,נשמע,مسموع
154.1350279,154.3850279,camera,מצלמה,آلة تصوير
154.4050279,154.5950279,going,הולך,ذاهب
155.9750279,156.2450279,didnt,לא,لا
156.4050279,156.5850279,dare,להעז,تحدّي
156.7550279,156.9250279,knew,ידע,معرفة
157.3950279,157.5950279,looked,הסתכל,ينظر
158.9550279,159.0950279,look,מבט,ينظر
160.2785279,160.4185279,let,לאפשר,يُمكَِن
162.1285279,162.4285279,sort,סוג,يكتب
163.4585279,163.6485279,looked,הסתכל,ينظر
164.4185279,164.7285279,see,לראות,يرى
165.0185279,165.2485279,pulling,משיכה,معلم سياحي
165.5185279,166.2785279,amazing,מדהים,مدهش
166.2785279,166.9485279,contorted,מעוות,مشوه
167.5185279,168.1185279,faces,פרצופים,وجوه
168.4885279,169.0885279,howling,יללות,عواء
169.1685279,169.6685279,mouths,פיות,الجنيات
170.9885279,171.8185279,smiling,מחייך,مبتسماً
171.8785279,172.2385279,mouth,פה,هنا
174.2064279,174.7964279,monkeys,קופים,القرود
175.0564279,175.3964279,taking,לקיחה,أخذ
175.4564279,176.0964279,selfies,סלפי,صورة سيلفي
176.6064279,177.3264279,amazing,מדהים,مدهش
177.5664279,178.1464279,beautiful,יפה,جميل
178.2464279,178.5764279,weird,משונה,غريب
178.6164279,179.2164279,selfies,סלפי,صورة سيلفي
180.2146279,180.4346279,wanted,רצה,مطلوب
180.6746279,180.7446279,go,ללכת,يذهب
186.8713279,187.0513279,stood,עמד,وقف
187.3613279,187.5813279,checked,בדוק,يفحص
187.7813279,188.1613279,work,עבודה,عمل
188.5813279,188.7313279,saw,מסור,مخصص
189.0313279,189.3013279,shots,יריות,لقطات
189.7613279,190.0713279,regular,קבוע,ثابت
190.1713279,190.3713279,old,ישן,قديم
190.4313279,190.7613279,everyday,כל יום,كل يوم
190.8213279,191.4313279,selfies,סלפי,صورة سيلفي
192.6213279,192.7913279,guy,בחור,رجل
193.0213279,193.3013279,gym,חדר כושר,نادي رياضي
193.3213279,193.5713279,taking,לקיחה,أخذ
193.5913279,193.8713279,pictures,תמונות,صور
194.1313279,194.4413279,muscles,שרירים,العضلات
194.6413279,195.2313279,mirror,מראה,مظهر
196.1213279,196.3213279,next,הבא,التالي
196.4013279,196.7613279,level,רמה,مستوى
198.0713279,198.3413279,good,טוב,جيد
199.5213279,199.8613279,escape,לברוח,يهرب
200.0013279,200.2913279,bounds,גבולות,حدود
200.3913279,200.9813279,selfie,סלפי,صورة سيلفي
201.2213279,201.4913279,enter,להכניס,أدخل
201.6113279,201.8613279,realm,תחום,اِختِصاص
202.0113279,202.2413279,art,אמנות,فن
204.2013279,204.4313279,shot,בעיטה,ركلة
204.5113279,205.0213279,particular,מסוים,تأكيد
205.1713279,205.4113279,caught,נתפס,أمسك
205.8013279,206.0813279,eye,עין,عين
207.1413279,207.4313279,monkeys,קופים,القرود
207.4513279,207.7013279,face,פנים,وجه
208.6413279,209.0713279,camera,מצלמה,آلة تصوير
209.2913279,209.5013279,looking,מחפש,أبحث عن
210.1113279,210.5213279,lens,עדשה,عدسة
211.4113279,211.7313279,hair,שער,بوابة
213.8813279,214.3613279,eyes,עיניים,عيون
214.3813279,214.8913279,friendly,ידידותי,ودي
215.3813279,215.6313279,big,גדול,كبير
215.7613279,216.0313279,round,עגול,دائري
216.1813279,216.5613279,amber,ענבר,كهرماني
218.0313279,218.3013279,nice,נחמד,لطيف - جيد
218.3013279,218.9413279,details,פרטים,تفاصيل
219.0713279,219.3713279,details,פרטים,تفاصيل
219.5113279,220.0213279,important,חשוב,مهم
220.3913279,220.7113279,focus,מוקד,ركز
221.0513279,221.5913279,selfie,סלפי,صورة سيلفي
222.0813279,222.3013279,main,ראשי,رئيسي
222.3213279,222.6513279,event,מקרה,قضية
223.5013279,223.9313279,monkeys,קופים,القرود
223.9513279,224.7713279,self_satisfied,מרוצה מעצמי,أنا راضٍ عن نفسي
224.8113279,225.2813279,grin,לגחך,ابتسامة
225.8813279,226.1413279,teeth,שיניים,أسنان
226.5213279,226.7013279,big,גדול,كبير
227.0513279,227.4613279,mouth,פה,هنا
227.6113279,227.8913279,gaps,פערים,الفجوات
229.4813279,229.7213279,real,אמיתי,حقيقي
229.7413279,230.0413279,grin,לגחך,ابتسامة
231.0313279,231.2613279,knows,יודע,معرفة
231.3713279,231.7513279,smiling,מחייך,مبتسماً
231.9613279,232.4113279,picture,תמונה,صورة
233.8227279,234.0427279,saw,ראיתי,رأيت
234.4627279,234.6827279,front,קדמית,أمام
234.7627279,235.0327279,cover,כריכה,ملزم
238.0127279,238.2027279,thought,מחשבה,معتقد
238.3827279,238.6327279,need,צורך,يحتاج
239.5927279,240.2127279,agents,סוכנים,الوكلاء
247.4748279,247.7448279,agents,סוכנים,الوكلاء
247.8048279,247.8948279,put,לשים,يضع
248.1548279,248.6848279,press_release,הודעה לעיתונות,بيان صحفي
249.0148279,249.5948279,selfies,סלפי,صورة سيلفي
250.0348279,250.2048279,thought,מחשבה,معتقد
250.4648279,250.7048279,grab,לתפוס,يمسك
250.7248279,250.9848279,peoples,עמים,الشعوب
251.0448279,251.4148279,attention,תשומת לב,انتباه
251.7248279,252.2348279,photos,תמונות,صور
252.6748279,252.8048279,use,להשתמש,يستخدم
252.9248279,253.5748279,opportunity,הזדמנות,فرصة
253.6848279,253.8848279,send,לשלוח,يرسل
253.9548279,254.2848279,message,הודעה,رسالة
254.5548279,255.3148279,conservation,שימור,حفظ
256.3848279,256.5248279,wanted,רצה,مطلوب
256.6348279,256.8248279,sell,למכור,يبيع
256.9048279,257.2348279,pictures,תמונות,صور
257.4248279,257.7648279,course,כמובן,بالطبع
259.3148279,259.8848279,monkeys,קופים,القرود
260.6048279,260.8648279,black,שחור,أسود
260.8648279,261.4548279,macaques,מקוקים,قرود المكاك
261.8248279,262.2048279,considered,נחשב,يعتبر
262.9348279,263.6048279,endangered,בסכנת הכחדה,مهدد بالانقراض
265.0048279,265.2048279,step,שלב,منصة
265.8848279,266.3848279,extinct,נכחד,منقرض
266.6148279,267.1548279,wild,פראי,بري
268.1148279,268.2848279,lost,איבד,ضائع
268.6248279,268.8948279,percent,אחוז,شهادة
269.1548279,269.7948279,population,אוכלוסיה,سكان
270.0148279,271.1748279,last_years,שנים אחרונות,السنوات الأخيرة
271.5848279,272.2548279,humans,בני אדם,الجنس البشري
273.7348279,273.8748279,went,הלכו,مسافر
273.9748279,274.4348279,indonesia,אינדונזיה,أندونيسيا
274.8048279,275.2448279,place,מקום,مكان
276.3748279,276.6648279,wanted,רצה,مطلوب
276.7848279,276.9548279,take,ליטול,يأخذ
276.9948279,277.6248279,photographs,תצלומים,صور فوتوغرافية
277.9448279,278.3448279,inspire,לעורר,يحفز
278.6248279,279.1548279,humans,בני אדם,الجنس البشري
279.4448279,279.6948279,caring,אכפתיות,هَم
280.4748279,280.6748279,little,קצת,بعض
280.6948279,281.2748279,monkeys,קופים,القرود
281.8248279,282.0348279,stop,להפסיק,قف
282.0948279,282.3848279,killing,הרג,قتل
284.2748279,284.6248279,selfies,סלפי,صورة سيلفي
284.6448279,284.8848279,didnt,לא,لا
284.9448279,285.0948279,end,סוף,نهاية
285.4448279,285.6748279,cover,לכסות,غطاء
287.5348279,287.7648279,british,בריטי,بريطاني
287.8048279,288.2348279,tabloids,צהובונים,الصحف الشعبية
288.3948279,288.8748279,interested,מעוניין,مهتم
290.1248279,290.3148279,mail,דואר,بريد
290.8448279,291.2848279,newspaper,עתון,صحيفة
291.3748279,291.6548279,publish,לפרסם,انشر
291.7548279,292.0548279,story,כתבה,قصة
292.3448279,292.9348279,selfies,סלפי,صورة سيلفي
295.6510279,296.0110279,hour,שעה,وقت
297.9310279,298.5810279,country,מדינה,ولاية
298.5810279,299.2810279,australia,אוסטרליה,أستراليا
299.3410279,299.8910279,germany,גרמניה,ألمانيا
301.6310279,302.3310279,emails,אימיילים,رسائل البريد الإلكتروني
303.2510279,303.7310279,inbox,תיבת הדואר הנכנס,صندوق الوارد
303.9010279,304.4510279,crazy,מטורף,مجنون
305.1410279,305.4610279,people,אנשים,الناس
305.4810279,305.8610279,wanting,רוצים,يريد
305.9610279,306.1010279,know,לדעת,يعرف
306.1810279,306.8010279,story,סיפור,قصة
307.1310279,307.3810279,wanting,רוצה,يريد
307.4610279,307.6510279,use,להשתמש,يستخدم
307.7710279,308.4410279,image,תמונה,صورة
310.2910279,310.5910279,phone,טלפון,هاتف
310.7510279,311.1410279,hot,חם,حار
311.9510279,312.4710279,calls,שיחות,المكالمات
313.2107279,314.0907279,next_few_months,החודשים הבאים,الأشهر القادمة
314.7007279,315.0607279,selfies,סלפי,صورة سيلفي
315.0407279,315.2607279,sold,נמכר,مُباع
316.9907279,317.4907279,licensing,רישוי,الترخيص
317.8207279,318.5707279,publications,פרסומים,المنشورات
318.7207279,319.0107279,selling,מכירה,أُوكَازيُون
319.0307279,319.4907279,prints,הדפסים,مطبوعات
320.8707279,321.2007279,day,יום,يوم
321.4207279,321.5807279,goes,הולך,ذاهب
322.0107279,322.3707279,research,מחקר,بحث
322.5007279,322.9307279,monkeys,קופים,القرود
323.4973279,323.8073279,started,התחיל,بدأ
324.5473279,325.0073279,search,לחפש,يبحث
325.5973279,325.8173279,black,שחור,أسود
325.8173279,326.2973279,macaque,מקוק,قرد المكاك
326.6073279,326.8373279,day,יום,يوم
328.7973279,329.4573279,wikipedia,ויקיפדיה,ويكيبيديا
329.5373279,329.7473279,top,ראש,رأس
329.9473279,330.1573279,list,רשימה,قائمة
332.3473279,332.6173279,clicked,לחצו,انقر
333.9173279,334.3273279,image,תמונה,صورة
335.4473279,335.6273279,thought,מחשבה,معتقد
337.4073279,337.8073279,caters,קייטרינג,خدمات الطعام
337.8473279,338.5573279,news_agency,סוכנות חדשות,وكالة أنباء
338.8073279,338.9573279,paid,שולם,مدفوع
