word_idx,sentence_id,language,target_text,components,span_start,span_end,pseudo_sentence,quality_flag
0,1,ar,حملة,حملة,0,1,حملة قرد وسط,pseudo_sentence_word_context
1,1,ar,قرد,قرد,1,2,حملة قرد وسط,pseudo_sentence_word_context
2,1,ar,وسط,وسط,2,3,حملة قرد وسط,pseudo_sentence_word_context
3,2,ar,الأماكن,الأماكن,0,1,الأماكن الحيوانات يذهب الأماكن مصمم الجنس البشري الجنس البشري,pseudo_sentence_word_context
4,2,ar,الحيوانات,الحيوانات,1,2,الأماكن الحيوانات يذهب الأماكن مصمم الجنس البشري الجنس البشري,pseudo_sentence_word_context
5,2,ar,يذهب,يذهب,2,3,الأماكن الحيوانات يذهب الأماكن مصمم الجنس البشري الجنس البشري,pseudo_sentence_word_context
6,2,ar,الأماكن,الأماكن,3,4,الأماكن الحيوانات يذهب الأماكن مصمم الجنس البشري الجنس البشري,pseudo_sentence_word_context
7,2,ar,مصمم,مصمم,4,5,الأماكن الحيوانات يذهب الأماكن مصمم الجنس البشري الجنس البشري,pseudo_sentence_word_context
8,2,ar,الجنس البشري,الجنس | البشري,5,7,الأماكن الحيوانات يذهب الأماكن مصمم الجنس البشري الجنس البشري,pseudo_sentence_word_context
9,2,ar,الجنس البشري,الجنس | البشري,7,9,الأماكن الحيوانات يذهب الأماكن مصمم الجنس البشري الجنس البشري,pseudo_sentence_word_context
10,2,ar,حملة,حملة,9,10,الأماكن الحيوانات يذهب الأماكن مصمم الجنس البشري الجنس البشري,isolated_word_fallback_span_out_of_range
11,2,ar,نهاية,نهاية,10,11,الأماكن الحيوانات يذهب الأماكن مصمم الجنس البشري الجنس البشري,isolated_word_fallback_span_out_of_range
12,3,ar,مكان,مكان,0,1,حملة نهاية مكان بدء,pseudo_sentence_word_context
13,3,ar,بدء,بدء,1,2,حملة نهاية مكان بدء,pseudo_sentence_word_context
14,3,ar,يشرح,يشرح,2,3,حملة نهاية مكان بدء,pseudo_sentence_word_context
15,3,ar,قصة,قصة,3,4,حملة نهاية مكان بدء,pseudo_sentence_word_context
16,4,ar,بدء,بدء,0,1,يشرح,pseudo_sentence_word_context
17,5,ar,عميق,عميق,0,1,قصة بدء عميق الغابات المطيرة غير مُسَمًّى,pseudo_sentence_word_context
18,5,ar,الغابات المطيرة,الغابات | المطيرة,1,3,قصة بدء عميق الغابات المطيرة غير مُسَمًّى,pseudo_sentence_word_context
19,5,ar,غير,غير,3,4,قصة بدء عميق الغابات المطيرة غير مُسَمًّى,pseudo_sentence_word_context
20,5,ar,مُسَمًّى,مُسَمًّى,4,5,قصة بدء عميق الغابات المطيرة غير مُسَمًّى,pseudo_sentence_word_context
21,5,ar,كم سنة؟,كم | سنة,5,7,قصة بدء عميق الغابات المطيرة غير مُسَمًّى,pseudo_sentence_word_context
22,5,ar,مصور,مصور,7,8,قصة بدء عميق الغابات المطيرة غير مُسَمًّى,isolated_word_fallback_span_out_of_range
23,5,ar,يسافر,يسافر,8,9,قصة بدء عميق الغابات المطيرة غير مُسَمًّى,isolated_word_fallback_span_out_of_range
24,6,ar,منزل,منزل,0,1,كم سنة؟ مصور يسافر منزل إنجلترا تصوير فرقة القرود,pseudo_sentence_word_context
25,6,ar,إنجلترا,إنجلترا,1,2,كم سنة؟ مصور يسافر منزل إنجلترا تصوير فرقة القرود,pseudo_sentence_word_context
26,6,ar,تصوير,تصوير,2,3,كم سنة؟ مصور يسافر منزل إنجلترا تصوير فرقة القرود,pseudo_sentence_word_context
27,6,ar,فرقة,فرقة,3,4,كم سنة؟ مصور يسافر منزل إنجلترا تصوير فرقة القرود,pseudo_sentence_word_context
28,6,ar,القرود,القرود,4,5,كم سنة؟ مصور يسافر منزل إنجلترا تصوير فرقة القرود,pseudo_sentence_word_context
29,6,ar,مجهول,مجهول,5,6,كم سنة؟ مصور يسافر منزل إنجلترا تصوير فرقة القرود,pseudo_sentence_word_context
30,6,ar,الجميع,الجميع,6,7,كم سنة؟ مصور يسافر منزل إنجلترا تصوير فرقة القرود,pseudo_sentence_word_context
31,6,ar,يوم,يوم,7,8,كم سنة؟ مصور يسافر منزل إنجلترا تصوير فرقة القرود,pseudo_sentence_word_context
32,6,ar,التالي,التالي,8,9,كم سنة؟ مصور يسافر منزل إنجلترا تصوير فرقة القرود,pseudo_sentence_word_context
33,7,ar,سميك,سميك,0,1,مجهول الجميع يوم التالي سميك غابة الكروم موحل تشابك بيت العنكبوت سامة الثعابين,pseudo_sentence_word_context
34,7,ar,غابة,غابة,1,2,مجهول الجميع يوم التالي سميك غابة الكروم موحل تشابك بيت العنكبوت سامة الثعابين,pseudo_sentence_word_context
35,7,ar,الكروم,الكروم,2,3,مجهول الجميع يوم التالي سميك غابة الكروم موحل تشابك بيت العنكبوت سامة الثعابين,pseudo_sentence_word_context
36,7,ar,موحل,موحل,3,4,مجهول الجميع يوم التالي سميك غابة الكروم موحل تشابك بيت العنكبوت سامة الثعابين,pseudo_sentence_word_context
37,7,ar,تشابك,تشابك,4,5,مجهول الجميع يوم التالي سميك غابة الكروم موحل تشابك بيت العنكبوت سامة الثعابين,pseudo_sentence_word_context
38,7,ar,بيت العنكبوت,بيت | العنكبوت,5,7,مجهول الجميع يوم التالي سميك غابة الكروم موحل تشابك بيت العنكبوت سامة الثعابين,pseudo_sentence_word_context
39,7,ar,سامة,سامة,7,8,مجهول الجميع يوم التالي سميك غابة الكروم موحل تشابك بيت العنكبوت سامة الثعابين,pseudo_sentence_word_context
40,7,ar,الثعابين,الثعابين,8,9,مجهول الجميع يوم التالي سميك غابة الكروم موحل تشابك بيت العنكبوت سامة الثعابين,pseudo_sentence_word_context
41,7,ar,شخص,شخص,9,10,مجهول الجميع يوم التالي سميك غابة الكروم موحل تشابك بيت العنكبوت سامة الثعابين,pseudo_sentence_word_context
42,7,ar,اسم,اسم,10,11,مجهول الجميع يوم التالي سميك غابة الكروم موحل تشابك بيت العنكبوت سامة الثعابين,pseudo_sentence_word_context
43,7,ar,يذهب,يذهب,11,12,مجهول الجميع يوم التالي سميك غابة الكروم موحل تشابك بيت العنكبوت سامة الثعابين,pseudo_sentence_word_context
44,7,ar,مدهش,مدهش,12,13,مجهول الجميع يوم التالي سميك غابة الكروم موحل تشابك بيت العنكبوت سامة الثعابين,pseudo_sentence_word_context
45,7,ar,قرد,قرد,13,14,مجهول الجميع يوم التالي سميك غابة الكروم موحل تشابك بيت العنكبوت سامة الثعابين,isolated_word_fallback_span_out_of_range
46,8,ar,قرد,قرد,0,1,شخص,pseudo_sentence_word_context
47,9,ar,يقابل,يقابل,0,1,اسم يذهب,pseudo_sentence_word_context
48,9,ar,القرود,القرود,1,2,اسم يذهب,pseudo_sentence_word_context
49,10,ar,يقول,يقول,0,1,مدهش قرد,pseudo_sentence_word_context
50,10,ar,متوسط,متوسط,1,2,مدهش قرد,pseudo_sentence_word_context
51,11,ar,عالم,عالم,0,1,قرد,pseudo_sentence_word_context
52,12,ar,يعرف,يعرف,0,1,يقابل القرود يقول متوسط عالم,pseudo_sentence_word_context
53,12,ar,يعرف,يعرف,1,2,يقابل القرود يقول متوسط عالم,pseudo_sentence_word_context
54,12,ar,قليلاً قليلاً,قليلاً | قليلاً,2,4,يقابل القرود يقول متوسط عالم,pseudo_sentence_word_context
55,12,ar,قرد,قرد,4,5,يقابل القرود يقول متوسط عالم,pseudo_sentence_word_context
56,12,ar,قرد,قرد,5,6,يقابل القرود يقول متوسط عالم,isolated_word_fallback_span_out_of_range
57,13,ar,آداب السلوك,آداب | السلوك,0,2,يعرف يعرف قليلاً قليلاً قرد قرد آداب السلوك عرض تقديمي أسنان عرض أسنان التحديق وجه,pseudo_sentence_word_context
58,13,ar,عرض تقديمي,عرض | تقديمي,2,4,يعرف يعرف قليلاً قليلاً قرد قرد آداب السلوك عرض تقديمي أسنان عرض أسنان التحديق وجه,pseudo_sentence_word_context
