sentence_id,real_sentence_en,real_sentence_he,pseudo_sentence_he_from_all_eyal_words
1,"Act One, Monkey in the Middle.","מערכה ראשונה, קוף באמצע.",מערכה קוף אמצע
2,"So there's some places where animals almost never go, places that are designed by humans for humans.","אז יש כמה מקומות שבעלי חיים כמעט ולא הולכים אליהם, מקומות שעוצבו על ידי בני אדם לבני אדם.",מקומות בעלי חיים ללכת מקומות מעוצב בני אדם בני אדם
3,"This act ends up in a place like that, but it starts about as far from there as you can get.","המעשה הזה מסתיים במקום כזה, אבל הוא מתחיל בערך הכי רחוק משם שאפשר להגיע.",מערכה מסתיים מקום מתחיל
4,Dana Chivvis explains.,דנה צ'יביס מסבירה.,מסביר
5,Our story begins deep in the rainforests of Indonesia on an island called Sulawesi.,הסיפור שלנו מתחיל עמוק ביערות הגשם של אינדונזיה על אי בשם Sulawesi.,כתבה מתחיל עמוק יערות גשם אי נקרא
6,"A few years ago, the photographer David Slater traveled there from his home in England to photograph a troop of monkeys.",לפני כמה שנים נסע לשם הצלם דיוויד סלייטר מביתו באנגליה כדי לצלם להקת קופים.,כמה שנים צלם טייל בית אנגליה תצלום להקת קופים
7,"I'd gone a whole day just following them into the thick of the forest, through the tangles and the vines and the muddy undergrowth and the cobwebs and the poisonous snakes.","הלכתי יום שלם רק בעקבותיהם לתוך עובי היער, דרך הסבך והגפנים והסבך הבוצי וקורי העכביש והנחשים הרעילים.",נעלם כל יום הבא עבה יער גפנים בוצי סבך קורי עכביש רעיל נחשים
8,"Oh, man.","הו, בנאדם.",אדם
9,"You name it, I had to go through it.","אתה שם את זה, הייתי צריך לעבור את זה.",שם ללכת
10,And it was just so amazing just to be like a monkey.,וזה היה פשוט כל כך מדהים להיות כמו קוף.,מדהים קוף
11,I was a monkey honestly.,הייתי קוף בכנות.,קוף
12,"I had met monkeys before, like I said, all over the world.","פגשתי קופים בעבר, כמו שאמרתי, בכל העולם.",נפגש קופים אמר ממוצע עולם
13,"And I know a little bit about monkey etiquette and showing your teeth not to show your teeth, not to stare them in the face.","ואני יודע קצת על כללי התנהגות של קופים ועל להראות את השיניים שלך כדי לא להראות את השיניים שלך, לא לבהות אותן בפנים.",לדעת לדעת קצת קצת קוף קוף כללי התנהגות הצגה שיניים להציג שיניים לנעוץ מבט פנים
14,"Yeah, this is one of the secrets, actually, of being able to get good photography is making the animal relaxed.","כן, זה בעצם אחד הסודות של היכולת לצלם טוב הוא עושה את החיה רגועה.",סודות מסוגל טוב צילום הכנה חיה רגוע
15,There was one shot David really wanted to get a full face portrait with a wide angle lens.,היה צילום אחד שדיוויד באמת רצה לקבל דיוקן פנים מלא עם עדשה רחבה.,בעיטה רצה מלא פנים דיוקן עדשה
16,"But every time he got close to taking the shot, the monkeys would look away.","אבל בכל פעם שהיה קרוב לזריקה, הקופים היו מסיטים את מבטם.",זמן לקיחה בעיטה קופים מבט
17,"So after two days of these near misses, he changed strategies.","אז אחרי יומיים של החמצות כמעט, הוא שינה אסטרטגיות.",ימים החמצות השתנה אסטרטגיות
