sentence_id,sentence_en,sentence_he
1,"Act One, Monkey in the Middle.","מערכה ראשונה, קוף באמצע."
2,"So there's some places where animals almost never go, places that are designed by humans for humans.","אז יש כמה מקומות שבעלי חיים כמעט ולא הולכים אליהם, מקומות שעוצבו על ידי בני אדם לבני אדם."
3,"This act ends up in a place like that, but it starts about as far from there as you can get.","המעשה הזה מסתיים במקום כזה, אבל הוא מתחיל בערך הכי רחוק משם שאפשר להגיע."
4,Dana Chivvis explains.,דנה צ'יביס מסבירה.
5,Our story begins deep in the rainforests of Indonesia on an island called Sulawesi.,הסיפור שלנו מתחיל עמוק ביערות הגשם של אינדונזיה על אי בשם Sulawesi.
6,"A few years ago, the photographer David Slater traveled there from his home in England to photograph a troop of monkeys.",לפני כמה שנים נסע לשם הצלם דיוויד סלייטר מביתו באנגליה כדי לצלם להקת קופים.
7,"I'd gone a whole day just following them into the thick of the forest, through the tangles and the vines and the muddy undergrowth and the cobwebs and the poisonous snakes.","הלכתי יום שלם רק בעקבותיהם לתוך עובי היער, דרך הסבך והגפנים והסבך הבוצי וקורי העכביש והנחשים הרעילים."
8,"Oh, man.","הו, בנאדם."
9,"You name it, I had to go through it.","אתה שם את זה, הייתי צריך לעבור את זה."
10,And it was just so amazing just to be like a monkey.,וזה היה פשוט כל כך מדהים להיות כמו קוף.
11,I was a monkey honestly.,הייתי קוף בכנות.
12,"I had met monkeys before, like I said, all over the world.","פגשתי קופים בעבר, כמו שאמרתי, בכל העולם."
13,"And I know a little bit about monkey etiquette and showing your teeth not to show your teeth, not to stare them in the face.","ואני יודע קצת על כללי התנהגות של קופים ועל להראות את השיניים שלך כדי לא להראות את השיניים שלך, לא לבהות אותן בפנים."
14,"Yeah, this is one of the secrets, actually, of being able to get good photography is making the animal relaxed.","כן, זה בעצם אחד הסודות של היכולת לצלם טוב הוא עושה את החיה רגועה."
15,There was one shot David really wanted to get a full face portrait with a wide angle lens.,היה צילום אחד שדיוויד באמת רצה לקבל דיוקן פנים מלא עם עדשה רחבה.
16,"But every time he got close to taking the shot, the monkeys would look away.","אבל בכל פעם שהיה קרוב לזריקה, הקופים היו מסיטים את מבטם."
17,"So after two days of these near misses, he changed strategies.","אז אחרי יומיים של החמצות כמעט, הוא שינה אסטרטגיות."
18,He put his camera on a tripod and threw down some cookies to try to entice the monkeys over.,הוא שם את המצלמה שלו על חצובה וזרק כמה עוגיות כדי לנסות לפתות את הקופים.
19,He was hoping they'd get curious about the camera and start pushing the button themselves.,הוא קיווה שהם יסתקרנו לגבי המצלמה ויתחילו ללחוץ על הכפתור בעצמם.
20,They were curious.,הם היו סקרנים.
21,They were not pushing the button.,הם לא לחצו על הכפתור.
22,So David attached a cable with a button on the end of it to the camera.,אז דוד חיבר כבל עם כפתור בקצה שלו למצלמה.
23,The monkeys liked that.,הקופים אהבו את זה.
24,"They started playing with it, putting it in their mouths, fighting over it.","הם התחילו לשחק עם זה, הכניסו אותו לפה שלהם, נלחמו על זה."
25,"And of course when it got pressed, they automatically looked into the lens.","וכמובן שכאשר זה נלחץ, הם הסתכלו אוטומטית לתוך העדשה."
26,"And the fact that it's going ch, ch, ch, ch, ch, it's monkey language.","והעובדה שזה הולך ch, ch, ch, ch, ch, זה שפת קופים."
27,They fired off a few shots.,הם ירו כמה יריות.
28,David reviewed them.,דוד סקר אותם.
29,"They weren't bad, a little out of focus.","הם לא היו רעים, קצת לא בפוקוס."
30,So he adjusted the settings and put the camera back.,אז הוא התאים את ההגדרות והחזיר את המצלמה.
31,The monkeys were into the whole project by now.,הקופים כבר היו מעורבים בכל הפרויקט.
32,"In fact, they were getting a little too excited.","למעשה, הם התרגשו קצת מדי."
33,They almost knocked the tripod over.,הם כמעט הפילו את החצובה.
34,So David laid down on his stomach and stretched his arm out to steady the tripod with two fingers.,אז דוד נשכב על בטנו ומתח את זרועו כדי לייצב את החצובה בשתי אצבעות.
35,A few other monkeys noticed their strange new friend lying full out on the floor and hopped onto his back.,כמה קופים אחרים הבחינו בחבר החדש והמוזר שלהם שוכב מלא על הרצפה וקפצו על גבו.
36,"So I had monkeys on my back whilst I'm trying to keep my camera from being knocked, while some monkeys, or two or three monkeys, are trying to play with the button.","אז היו לי קופים על הגב בזמן שאני מנסה למנוע מהמצלמה שלי להידפק, בעוד כמה קופים, או שניים או שלושה קופים, מנסים לשחק עם הכפתור."
37,"And all of a sudden, I heard the camera going off.",ופתאום שמעתי את המצלמה נכבית.
38,And I didn't dare.,ולא העזתי.
39,"I knew that if I looked up at them, they would probably look away.","ידעתי שאם אסתכל עליהם, הם כנראה יפנו את מבטם."
40,"So I let them click it, click it, click it.","אז נתתי להם ללחוץ עליו, ללחוץ עליו, ללחוץ עליו."
41,"And I sort of very carefully looked up to see them pulling these amazing contorted faces, like howling mouths, and the smiling mouth, and more besides.","ובזהירות רבה הסתכלתי למעלה וראיתי אותם מושכים את הפרצופים המעוותים המדהימים האלה, כמו פיות מייללים, והפה המחייך, ועוד חוץ מזה."
42,"The monkeys were taking selfies amazing, beautiful, weird selfies.","הקופים צילמו סלפי מדהימים, יפים ומוזרים."
43,I just wanted it to go on forever really.,רק רציתי שזה יימשך לנצח באמת.
