sentence_id,sentence
1,الفصل الأول، القرد في المنتصف.
2,هناك أماكن لا تكاد تذهب إليها الحيوانات أبداً، أماكن صُممت من قبل البشر وللبشر.
3,ينتهي هذا الفصل في مكان كهذا، لكنه يبدأ بعيداً عنه بأقصى ما يمكن تصوره.
4,دانا تشيفيس تشرح.
5,تبدأ قصتنا في أعماق غابات إندونيسيا المطيرة على جزيرة تسمى سولاويسي.
6,قبل سنوات قليلة، سافر المصور ديفيد سلاتر إلى هناك من منزله في إنجلترا لتصوير قطيع من القردة.
7,قضيت يوماً كاملاً أتبعهم إلى أعماق الغابة، عبر التشابكات والكروم والنباتات الطينية وبيوت العناكب والثعابين السامة.
8,يا إلهي.
9,كل شيء يمكنك تخيله، كان علي المرور به.
10,وكان من الرائع جداً أن تكون مثل القرد.
11,كنت قرداً بصدق.
12,لقد التقيت بالقردة من قبل، كما قلت، في جميع أنحاء العالم.
13,وأنا أعرف قليلاً عن آداب القردة وإظهار أسنانك وعدم إظهارها، وعدم التحديق في وجوهها.
14,نعم، هذا في الواقع أحد أسرار التصوير الجيد، وهو جعل الحيوان مرتاحاً.
15,كان هناك لقطة واحدة يريد ديفيد الحصول عليها حقاً، صورة وجه كاملة بعدسة زاوية واسعة.
16,لكن في كل مرة اقترب فيها من التقاط الصورة، كانت القردة تنظر بعيداً.
17,لذا بعد يومين من هذه المحاولات الفاشلة، غيّر استراتيجيته.
18,وضع كاميرته على حامل ثلاثي وألقى ببعض الكعك لمحاولة إغراء القردة بالاقتراب.
19,كان يأمل أن تشعر بالفضول تجاه الكاميرا وتبدأ في الضغط على الزر بنفسها.
20,كانوا فضوليين.
21,لم يكونوا يضغطون على الزر.
22,لذا ربط ديفيد كبلاً بزر في نهايته بالكاميرا.
23,أعجب القردة ذلك.
24,بدأوا باللعب به، ووضعه في أفواههم، والتشاجر عليه.
25,وبالطبع عندما ضغطوا عليه، نظروا تلقائياً إلى العدسة.
26,وحقيقة أنها تصدر صوت تش، تش، تش، تش، تش، هذه لغة القردة.
27,التقطوا بعض الصور.
28,راجعها ديفيد.
29,لم تكن سيئة، لكنها كانت خارج التركيز قليلاً.
30,لذا ضبط الإعدادات وأعاد الكاميرا.
31,كانت القردة منغمسة في المشروع بأكمله الآن.
32,في الواقع، كانوا يشعرون بالإثارة الشديدة.
33,كادوا يُسقطون الحامل الثلاثي.
34,لذا استلقى ديفيد على بطنه ومد ذراعه لتثبيت الحامل بإصبعين.
35,لاحظت بعض القردة الأخرى صديقهم الجديد الغريب مستلقياً على الأرض وقفزت على ظهره.
36,كان لدي قردة على ظهري بينما كنت أحاول منع الكاميرا من السقوط، في حين كان قردان أو ثلاثة يحاولون اللعب بالزر.
37,وفجأة، سمعت صوت الكاميرا تنطلق.
