word_idx,sentence_id,language,target_text,components,span_start,span_end,pseudo_sentence,quality_flag
0,1,en,act,act,0,1,act monkey middle,pseudo_sentence_word_context
1,1,en,monkey,monkey,1,2,act monkey middle,pseudo_sentence_word_context
2,1,en,middle,middle,2,3,act monkey middle,pseudo_sentence_word_context
3,2,en,places,places,0,1,places animals go places designed humans humans,pseudo_sentence_word_context
4,2,en,animals,animals,1,2,places animals go places designed humans humans,pseudo_sentence_word_context
5,2,en,go,go,2,3,places animals go places designed humans humans,pseudo_sentence_word_context
6,2,en,places,places,3,4,places animals go places designed humans humans,pseudo_sentence_word_context
7,2,en,designed,designed,4,5,places animals go places designed humans humans,pseudo_sentence_word_context
8,2,en,humans,humans,5,6,places animals go places designed humans humans,pseudo_sentence_word_context
9,2,en,humans,humans,6,7,places animals go places designed humans humans,pseudo_sentence_word_context
10,3,en,act,act,0,1,act ends place starts,pseudo_sentence_word_context
11,3,en,ends,ends,1,2,act ends place starts,pseudo_sentence_word_context
12,3,en,place,place,2,3,act ends place starts,pseudo_sentence_word_context
13,3,en,starts,starts,3,4,act ends place starts,pseudo_sentence_word_context
14,4,en,explains,explains,0,1,explains,pseudo_sentence_word_context
15,5,en,story,story,0,1,story begins deep rainforests island called,pseudo_sentence_word_context
16,5,en,begins,begins,1,2,story begins deep rainforests island called,pseudo_sentence_word_context
17,5,en,deep,deep,2,3,story begins deep rainforests island called,pseudo_sentence_word_context
18,5,en,rainforests,rainforests,3,4,story begins deep rainforests island called,pseudo_sentence_word_context
19,5,en,island,island,4,5,story begins deep rainforests island called,pseudo_sentence_word_context
20,5,en,called,called,5,6,story begins deep rainforests island called,pseudo_sentence_word_context
21,6,en,few_years,few | years,0,2,few years photographer traveled home england photograph troop monkeys,pseudo_sentence_word_context
22,6,en,photographer,photographer,2,3,few years photographer traveled home england photograph troop monkeys,pseudo_sentence_word_context
23,6,en,traveled,traveled,3,4,few years photographer traveled home england photograph troop monkeys,pseudo_sentence_word_context
24,6,en,home,home,4,5,few years photographer traveled home england photograph troop monkeys,pseudo_sentence_word_context
25,6,en,england,england,5,6,few years photographer traveled home england photograph troop monkeys,pseudo_sentence_word_context
26,6,en,photograph,photograph,6,7,few years photographer traveled home england photograph troop monkeys,pseudo_sentence_word_context
27,6,en,troop,troop,7,8,few years photographer traveled home england photograph troop monkeys,pseudo_sentence_word_context
28,6,en,monkeys,monkeys,8,9,few years photographer traveled home england photograph troop monkeys,pseudo_sentence_word_context
29,6,en,gone,gone,9,10,few years photographer traveled home england photograph troop monkeys,isolated_word_fallback_span_out_of_range
30,7,en,whole,whole,0,1,gone whole day following thick forest vines muddy undergrowth cobwebs poisonous snakes,pseudo_sentence_word_context
31,7,en,day,day,1,2,gone whole day following thick forest vines muddy undergrowth cobwebs poisonous snakes,pseudo_sentence_word_context
32,7,en,following,following,2,3,gone whole day following thick forest vines muddy undergrowth cobwebs poisonous snakes,pseudo_sentence_word_context
33,7,en,thick,thick,3,4,gone whole day following thick forest vines muddy undergrowth cobwebs poisonous snakes,pseudo_sentence_word_context
34,7,en,forest,forest,4,5,gone whole day following thick forest vines muddy undergrowth cobwebs poisonous snakes,pseudo_sentence_word_context
35,7,en,vines,vines,5,6,gone whole day following thick forest vines muddy undergrowth cobwebs poisonous snakes,pseudo_sentence_word_context
36,7,en,muddy,muddy,6,7,gone whole day following thick forest vines muddy undergrowth cobwebs poisonous snakes,pseudo_sentence_word_context
37,7,en,undergrowth,undergrowth,7,8,gone whole day following thick forest vines muddy undergrowth cobwebs poisonous snakes,pseudo_sentence_word_context
38,7,en,cobwebs,cobwebs,8,9,gone whole day following thick forest vines muddy undergrowth cobwebs poisonous snakes,pseudo_sentence_word_context
39,7,en,poisonous,poisonous,9,10,gone whole day following thick forest vines muddy undergrowth cobwebs poisonous snakes,pseudo_sentence_word_context
