sentence_id,real_sentence_en,real_sentence_ar,pseudo_sentence_ar_from_all_eyal_words
1,"Act One, Monkey in the Middle.","الفصل الأول، القرد في المنتصف.",حملة قرد وسط
2,"So there's some places where animals almost never go, places that are designed by humans for humans.","هناك أماكن لا تكاد تذهب إليها الحيوانات أبداً، أماكن صُممت من قبل البشر وللبشر.",الأماكن الحيوانات يذهب الأماكن مصمم الجنس البشري الجنس البشري
3,"This act ends up in a place like that, but it starts about as far from there as you can get.","ينتهي هذا الفصل في مكان كهذا، لكنه يبدأ بعيداً عنه بأقصى ما يمكن تصوره.",حملة نهاية مكان بدء
4,Dana Chivvis explains.,دانا تشيفيس تشرح.,يشرح
5,Our story begins deep in the rainforests of Indonesia on an island called Sulawesi.,تبدأ قصتنا في أعماق غابات إندونيسيا المطيرة على جزيرة تسمى سولاويسي.,قصة بدء عميق الغابات المطيرة غير مُسَمًّى
6,"A few years ago, the photographer David Slater traveled there from his home in England to photograph a troop of monkeys.","قبل سنوات قليلة، سافر المصور ديفيد سلاتر إلى هناك من منزله في إنجلترا لتصوير قطيع من القردة.",كم سنة؟ مصور يسافر منزل إنجلترا تصوير فرقة القرود
7,"I'd gone a whole day just following them into the thick of the forest, through the tangles and the vines and the muddy undergrowth and the cobwebs and the poisonous snakes.","قضيت يوماً كاملاً أتبعهم إلى أعماق الغابة، عبر التشابكات والكروم والنباتات الطينية وبيوت العناكب والثعابين السامة.",مجهول الجميع يوم التالي سميك غابة الكروم موحل تشابك بيت العنكبوت سامة الثعابين
8,"Oh, man.",يا إلهي.,شخص
9,"You name it, I had to go through it.","كل شيء يمكنك تخيله، كان علي المرور به.",اسم يذهب
10,And it was just so amazing just to be like a monkey.,وكان من الرائع جداً أن تكون مثل القرد.,مدهش قرد
11,I was a monkey honestly.,كنت قرداً بصدق.,قرد
12,"I had met monkeys before, like I said, all over the world.","لقد التقيت بالقردة من قبل، كما قلت، في جميع أنحاء العالم.",يقابل القرود يقول متوسط عالم
13,"And I know a little bit about monkey etiquette and showing your teeth not to show your teeth, not to stare them in the face.","وأنا أعرف قليلاً عن آداب القردة وإظهار أسنانك وعدم إظهارها، وعدم التحديق في وجوهها.",يعرف يعرف قليلاً قليلاً قرد قرد آداب السلوك عرض تقديمي أسنان عرض أسنان التحديق وجه
14,"Yeah, this is one of the secrets, actually, of being able to get good photography is making the animal relaxed.","نعم، هذا في الواقع أحد أسرار التصوير الجيد، وهو جعل الحيوان مرتاحاً.",أسرار قادر جيد التصوير الفوتوغرافي تحضير حيوان هادئ
15,There was one shot David really wanted to get a full face portrait with a wide angle lens.,"كان هناك لقطة واحدة يريد ديفيد الحصول عليها حقاً، صورة وجه كاملة بعدسة زاوية واسعة.",ركلة مطلوب ممتلىء وجه لَوحَة عدسة
16,"But every time he got close to taking the shot, the monkeys would look away.","لكن في كل مرة اقترب فيها من التقاط الصورة، كانت القردة تنظر بعيداً.",وقت أخذ ركلة القرود ينظر
17,"So after two days of these near misses, he changed strategies.","لذا بعد يومين من هذه المحاولات الفاشلة، غيّر استراتيجيته.",أيام المكالمات الفائتة تم التغيير الاستراتيجيات
18,He put his camera on a tripod and threw down some cookies to try to entice the monkeys over.,وضع كاميرته على حامل ثلاثي وألقى ببعض الكعك لمحاولة إغراء القردة بالاقتراب.,يضع آلة تصوير حامل ثلاثي القوائم رمي ملفات تعريف الارتباط يحاول إغراء القرود
19,He was hoping they'd get curious about the camera and start pushing the button themselves.,كان يأمل أن تشعر بالفضول تجاه الكاميرا وتبدأ في الضغط على الزر بنفسها.,يأمل فضولي آلة تصوير يبدأ الدفع
20,They were curious.,كانوا فضوليين.,فضولي
21,They were not pushing the button.,لم يكونوا يضغطون على الزر.,الدفع
22,So David attached a cable with a button on the end of it to the camera.,لذا ربط ديفيد كبلاً بزر في نهايته بالكاميرا.,مُرفَق كابل نهاية آلة تصوير
23,The monkeys liked that.,أعجب القردة ذلك.,القرود أعجبني
24,"They started playing with it, putting it in their mouths, fighting over it.","بدأوا باللعب به، ووضعه في أفواههم، والتشاجر عليه.",بدأ يلعب يضع الجنيات القتال
25,"And of course when it got pressed, they automatically looked into the lens.","وبالطبع عندما ضغطوا عليه، نظروا تلقائياً إلى العدسة.",بالطبع خارج ينظر عدسة
26,"And the fact that it's going ch, ch, ch, ch, ch, it's monkey language.","وحقيقة أنها تصدر صوت تش، تش، تش، تش، تش، هذه لغة القردة.",حقيقة ذاهب قرد لغة
27,They fired off a few shots.,التقطوا بعض الصور.,تم فصله من العمل عدد قليل لقطات
28,David reviewed them.,راجعها ديفيد.,تم اختباره
29,"They weren't bad, a little out of focus.","لم تكن سيئة، لكنها كانت خارج التركيز قليلاً.",سيء بعض ركز
30,So he adjusted the settings and put the camera back.,لذا ضبط الإعدادات وأعاد الكاميرا.,تم التعديل إعدادات يضع آلة تصوير
31,The monkeys were into the whole project by now.,كانت القردة منغمسة في المشروع بأكمله الآن.,القرود الجميع مشروع
32,"In fact, they were getting a little too excited.","في الواقع، كانوا يشعرون بالإثارة الشديدة.",حقيقة بعض متحمس
33,They almost knocked the tripod over.,كادوا يُسقطون الحامل الثلاثي.,طرق حامل ثلاثي القوائم
34,So David laid down on his stomach and stretched his arm out to steady the tripod with two fingers.,لذا استلقى ديفيد على بطنه ومد ذراعه لتثبيت الحامل بإصبعين.,شرط معدة التمدد ذراع مستقر حامل ثلاثي القوائم أصابع
35,A few other monkeys noticed their strange new friend lying full out on the floor and hopped onto his back.,لاحظت بعض القردة الأخرى صديقهم الجديد الغريب مستلقياً على الأرض وقفزت على ظهره.,عدد قليل آخر القرود انتبه غريب جديد صديق كذب ممتلىء أرضية قفز
36,"So I had monkeys on my back whilst I'm trying to keep my camera from being knocked, while some monkeys, or two or three monkeys, are trying to play with the button.","كان لدي قردة على ظهري بينما كنت أحاول منع الكاميرا من السقوط، في حين كان قردان أو ثلاثة يحاولون اللعب بالزر.",القرود محاولة احتياطي آلة تصوير طرق القرود محاولة القرود محاولة يلعب
37,"And all of a sudden, I heard the camera going off.","وفجأة، سمعت صوت الكاميرا تنطلق.",فجأة مسموع آلة تصوير ذاهب
38,And I didn't dare.,ولم أجرؤ.,لا تحدّي
39,"I knew that if I looked up at them, they would probably look away.","كنت أعلم أنني إذا نظرت إليهم، فربما سينظرون بعيداً.",معرفة ينظر ينظر
40,"So I let them click it, click it, click it.","لذا تركتهم يضغطون عليه، ويضغطون، ويضغطون.",يُمكَِن
41,"And I sort of very carefully looked up to see them pulling these amazing contorted faces, like howling mouths, and the smiling mouth, and more besides.","ونظرت بعناية شديدة لأرى وجوههم المُعبّرة المذهلة، كالأفواه العاوية، والأفواه المبتسمة، والمزيد.",يكتب ينظر يرى معلم سياحي مدهش مشوه وجوه عواء الجنيات مبتسماً هنا
42,"The monkeys were taking selfies amazing, beautiful, weird selfies.",كانت القردة تلتقط صور سيلفي مذهلة وجميلة وغريبة.,القرود أخذ صورة سيلفي مدهش جميل غريب صورة سيلفي
43,I just wanted it to go on forever really.,أردت فقط أن يستمر ذلك إلى الأبد.,مطلوب يذهب
44,"When David finally stood up and checked their work, he saw that the shots weren't just regular, old, everyday selfies.","عندما وقف ديفيد أخيراً وفحص عملهم، رأى أن الصور لم تكن مجرد سيلفي عادية.",وقف يفحص عمل مخصص لقطات ثابت قديم كل يوم صورة سيلفي
45,They weren't that guy at the gym taking pictures of his muscles in the mirror.,لم تكن كذلك الرجل في الصالة الرياضية يصور عضلاته في المرآة.,رجل نادي رياضي أخذ صور العضلات مظهر
46,"These were next level, transcendentally good.","كانت هذه صوراً على مستوى آخر، جيدة بشكل متعالٍ.",التالي مستوى جيد
47,They somehow escape the bounds of selfie and enter the realm of art.,إنها تتخطى حدود السيلفي بطريقة ما وتدخل عالم الفن.,يهرب حدود صورة سيلفي أدخل اِختِصاص فن
48,There was one shot in particular that caught David's eye.,كانت هناك لقطة واحدة بالذات لفتت انتباه ديفيد.,ركلة تأكيد أمسك عين
49,The monkey's face is very close to the camera looking straight into the lens.,وجه القرد قريب جداً من الكاميرا وينظر مباشرة إلى العدسة.,القرود وجه آلة تصوير أبحث عن عدسة
50,It's hair perfectly coiffed.,شعره مرتب بشكل مثالي.,بوابة
