sentence_id,real_sentence_en,pseudo_sentence_en_from_all_eyal_words
1,"Act One, Monkey in the Middle.",act monkey middle
2,"So there's some places where animals almost never go, places that are designed by humans for humans.",places animals go places designed humans humans
3,"This act ends up in a place like that, but it starts about as far from there as you can get.",act ends place starts
4,Dana Chivvis explains.,explains
5,Our story begins deep in the rainforests of Indonesia on an island called Sulawesi.,story begins deep rainforests island called
6,"A few years ago, the photographer David Slater traveled there from his home in England to photograph a troop of monkeys.",few years photographer traveled home england photograph troop monkeys
7,"I'd gone a whole day just following them into the thick of the forest, through the tangles and the vines and the muddy undergrowth and the cobwebs and the poisonous snakes.",gone whole day following thick forest vines muddy undergrowth cobwebs poisonous snakes
8,"Oh, man.",man
9,"You name it, I had to go through it.",name go
10,And it was just so amazing just to be like a monkey.,amazing monkey
11,I was a monkey honestly.,monkey
12,"I had met monkeys before, like I said, all over the world.",met monkeys said mean world
13,"And I know a little bit about monkey etiquette and showing your teeth not to show your teeth, not to stare them in the face.",know know little bit monkey monkey etiquette showing teeth show teeth stare face
14,"Yeah, this is one of the secrets, actually, of being able to get good photography is making the animal relaxed.",secrets able good photography making animal relaxed
15,There was one shot David really wanted to get a full face portrait with a wide angle lens.,shot wanted full face portrait lens
16,"But every time he got close to taking the shot, the monkeys would look away.",time taking shot monkeys look
17,"So after two days of these near misses, he changed strategies.",days misses changed strategies
18,He put his camera on a tripod and threw down some cookies to try to entice the monkeys over.,put camera tripod threw cookies try entice monkeys
19,He was hoping they'd get curious about the camera and start pushing the button themselves.,hoping curious camera start pushing
20,They were curious.,curious
21,They were not pushing the button.,pushing
22,So David attached a cable with a button on the end of it to the camera.,attached cable end camera
23,The monkeys liked that.,monkeys liked
24,"They started playing with it, putting it in their mouths, fighting over it.",started playing putting mouths fighting
25,"And of course when it got pressed, they automatically looked into the lens.",course pressed looked lens
26,"And the fact that it's going ch, ch, ch, ch, ch, it's monkey language.",fact going monkey language
27,They fired off a few shots.,fired few shots
28,David reviewed them.,reviewed
29,"They weren't bad, a little out of focus.",bad little focus
30,So he adjusted the settings and put the camera back.,adjusted settings put camera
31,The monkeys were into the whole project by now.,monkeys whole project
32,"In fact, they were getting a little too excited.",fact little excited
33,They almost knocked the tripod over.,knocked tripod
34,So David laid down on his stomach and stretched his arm out to steady the tripod with two fingers.,laid stomach stretched arm steady tripod fingers
35,A few other monkeys noticed their strange new friend lying full out on the floor and hopped onto his back.,few other monkeys noticed strange new friend lying full floor hopped
36,"So I had monkeys on my back whilst I'm trying to keep my camera from being knocked, while some monkeys, or two or three monkeys, are trying to play with the button.",monkeys trying keep camera knocked monkeys trying monkeys trying play
37,"And all of a sudden, I heard the camera going off.",sudden heard camera going
38,And I didn't dare.,didnt dare
39,"I knew that if I looked up at them, they would probably look away.",knew looked look
40,"So I let them click it, click it, click it.",let
41,"And I sort of very carefully looked up to see them pulling these amazing contorted faces, like howling mouths, and the smiling mouth, and more besides.",sort looked see pulling amazing contorted faces howling mouths smiling mouth
42,"The monkeys were taking selfies amazing, beautiful, weird selfies.",monkeys taking selfies amazing beautiful weird selfies
43,I just wanted it to go on forever really.,wanted go
44,"When David finally stood up and checked their work, he saw that the shots weren't just regular, old, everyday selfies.",stood checked work saw shots regular old everyday selfies
45,They weren't that guy at the gym taking pictures of his muscles in the mirror.,guy gym taking pictures muscles mirror
46,"These were next level, transcendentally good.",next level good
47,They somehow escape the bounds of selfie and enter the realm of art.,escape bounds selfie enter realm art
48,There was one shot in particular that caught David's eye.,shot particular caught eye
49,The monkey's face is very close to the camera looking straight into the lens.,monkeys face camera looking lens
50,It's hair perfectly coiffed.,hair
51,"Eyes friendly, big and round and amber.",eyes friendly big round amber
52,"All of which are nice details, and details are important.",nice details details important
53,"But the focus of this selfie, the main event, is the monkey's self satisfied grin teeth that are too big for its mouth with gaps between them, a real grin, like he knows he's smiling for a picture.",focus selfie main event monkeys self satisfied grin teeth big mouth gaps real grin knows smiling picture
54,I just saw it on the front cover of National Geographic or something like that.,saw front cover
55,"And I just thought, I need to get this to my agents.",thought need agents
56,David and his agents put out a press release about the selfies.,agents put press release selfies
57,They thought they could grab people's attention with the photos and then use the opportunity to send a message about conservation.,thought grab peoples attention photos use opportunity send message conservation
58,"And also they wanted to sell the pictures, of course.",wanted sell pictures course
59,"These monkeys, crested black macaques, are considered to be critically endangered, which is just one step before extinct in the wild.",monkeys black macaques considered endangered step extinct wild
60,"They've lost 80 percent of their population in the last 40 years because of humans, which is why David went to Indonesia in the first place.",lost percent population last years humans went indonesia place
61,"He wanted to take photographs that would inspire us humans into caring more about these little monkeys, to stop killing them.",wanted take photographs inspire humans caring little monkeys stop killing
62,"The selfies didn't end up on the cover of National Geographic, but the British tabloids were interested.",selfies didnt end cover british tabloids interested
63,The Daily Mail was the first newspaper to publish the story about the selfies.,mail newspaper publish story selfies
64,This was in 2011.,
65,"Within an hour, it was all over your country, Australia, Germany.",hour country australia germany
66,I was getting emails everywhere.,emails
67,My inbox went crazy.,inbox crazy
68,"People wanting to know the story, wanted to use the image.",people wanting know story wanting use image
69,"Literally, my phone was hot with calls.",phone hot calls
70,"Over the next few months, the monkey selfies sold pretty well.",next few months selfies sold
71,David was licensing them to publications and selling prints.,licensing publications selling prints
72,"And then one day, he goes online to research the monkeys.",day goes research monkeys
73,I started to just search crested black macaque one day in the Google.,started search black macaque day
74,"And there was Wikipedia, top of the list as always.",wikipedia top list
75,"I clicked on that, and there's my image.",clicked image
76,"And I thought, where have they got this from?",thought
77,Have they been to Caters News Agency and paid a license fee for it?,caters news agency paid license fee
78,They had not.,
79,So I sent them a letter.,sent letter
